id_image,pct_rouille,rugosite,nb_taches_rouille,label_malade
Corn_Health (1).jpg,0.0,733.2063556158221,0,0
Corn_Health (10).jpg,0.0,879.1710514836022,0,0
Corn_Health (100).jpg,0.0,987.7824140214083,0,0
Corn_Health (1000).jpg,0.0,265.5556013001718,0,0
Corn_Health (1001).jpg,0.0,432.4879419671603,0,0
Corn_Health (1002).jpg,0.0388946533203125,621.988733688403,3,0
Corn_Health (1003).jpg,0.0,838.8756707503787,0,0
Corn_Health (1004).jpg,0.0,2925.505794715809,0,0
Corn_Health (1005).jpg,0.0,2933.188694316158,0,0
Corn_Health (1006).jpg,0.0,1260.4623178129987,0,0
Corn_Health (1007).jpg,0.0,2078.0919354781186,0,0
Corn_Health (1008).jpg,0.0,866.497503326836,0,0
Corn_Health (1009).jpg,0.0,824.7663328555643,0,0
Corn_Health (101).jpg,0.0,2024.1628931005744,0,0
Corn_Health (1010).jpg,0.0,3626.635250193178,0,0
Corn_Health (1011).jpg,0.001953125,2815.665130588048,2,0
Corn_Health (1012).JPG,0.0,2075.1114770176396,0,0
Corn_Health (1013).jpg,3.0517578125e-05,555.7158480825346,0,0
Corn_Health (1014).jpg,0.0,855.4505033569859,0,0
Corn_Health (1015).jpg,0.0,1833.5949381248079,0,0
Corn_Health (1016).jpg,0.0,874.4072996176963,0,0
Corn_Health (1017).jpg,0.0,1974.7493377335036,0,0
Corn_Health (1018).jpg,0.0,1129.6127627177634,0,0
Corn_Health (1019).jpg,0.0,1111.2853191133272,0,0
Corn_Health (102).jpg,0.0,370.99454683070996,0,0
Corn_Health (1020).jpg,0.0,1470.0089709720032,0,0
Corn_Health (1021).jpg,0.0,1769.2070672234859,0,0
Corn_Health (1022).jpg,0.0003204345703125,1780.8764137498133,0,0
Corn_Health (1023).jpg,0.0,641.3340575445599,0,0
Corn_Health (1024).jpg,0.0,467.2941270262564,0,0
Corn_Health (1025).jpg,0.0,1116.8844064403545,0,0
Corn_Health (1026).jpg,0.0,1385.8327955034051,0,0
Corn_Health (1027).jpg,0.0,337.4921186205396,0,0
Corn_Health (1028).JPG,0.0,534.4663717042441,0,0
Corn_Health (1029).jpg,0.0,651.2829552639012,0,0
Corn_Health (103).jpg,0.003173828125,4513.49946227433,2,0
Corn_Health (1030).jpg,0.0,1052.349988857067,0,0
Corn_Health (1031).jpg,0.0,901.555283684743,0,0
Corn_Health (1032).jpg,0.0,2861.965975127462,0,0
Corn_Health (1033).jpg,0.0,3093.093220158541,0,0
Corn_Health (1034).jpg,3.0517578125e-05,1370.748076564019,0,0
Corn_Health (1035).jpg,9.1552734375e-05,1549.506028534547,0,0
Corn_Health (1036).jpg,0.0,4074.815375332858,0,0
Corn_Health (1037).jpg,0.0,3554.025938680692,0,0
Corn_Health (1038).jpg,0.0,4074.1619366923815,0,0
Corn_Health (1039).jpg,0.000274658203125,2589.789461978563,0,0
Corn_Health (104).jpg,0.0,1461.636131826719,0,0
Corn_Health (1040).jpg,0.0,887.5189770600825,0,0
Corn_Health (1041).jpg,0.000579833984375,782.7018909031883,0,0
Corn_Health (1042).jpg,0.0,1184.76769836594,0,0
Corn_Health (1043).jpg,0.0,1493.0095128760554,0,0
Corn_Health (1044).jpg,0.0088653564453125,2078.4074373601406,3,0
Corn_Health (1045).jpg,0.0,300.2403148205524,0,0
Corn_Health (1046).jpg,0.0,1044.2323294885387,0,0
Corn_Health (1047).JPG,0.0,1280.7939370119293,0,0
Corn_Health (1048).jpg,0.0,311.9783489966659,0,0
Corn_Health (1049).jpg,4.57763671875e-05,651.0910207688339,0,0
Corn_Health (105).jpg,0.0010223388671875,683.5957313552522,1,0
Corn_Health (1050).jpg,0.0,659.8571590332217,0,0
Corn_Health (1051).jpg,0.0,1217.4254042604414,0,0
Corn_Health (1052).jpg,3.0517578125e-05,563.3898678303779,0,0
Corn_Health (1053).jpg,0.0,1138.0667837284623,0,0
Corn_Health (1054).jpg,0.0007171630859375,2052.90575354347,1,0
Corn_Health (1055).jpg,0.0,504.4219486228268,0,0
Corn_Health (1056).jpg,0.0008087158203125,1625.0345157772795,1,0
Corn_Health (1057).jpg,0.0,3034.2279302754523,0,0
Corn_Health (1058).jpg,0.0,1204.3635317519024,0,0
Corn_Health (1059).jpg,0.0,2914.0173536034017,0,0
Corn_Health (106).jpg,0.0,793.6164069829772,0,0
Corn_Health (1060).jpg,0.0,3314.6624768304405,0,0
Corn_Health (1061).jpg,0.0,732.8349545386241,0,0
Corn_Health (1062).jpg,0.0,1296.0542178239875,0,0
Corn_Health (1063).jpg,0.0,486.7640982482256,0,0
Corn_Health (1064).jpg,0.0,403.66961981423754,0,0
Corn_Health (1065).jpg,0.0,1442.2434966221226,0,0
Corn_Health (1066).jpg,0.0,2324.1852479617664,0,0
Corn_Health (1067).jpg,0.0,535.2363867292332,0,0
Corn_Health (1068).jpg,0.0,4143.239606759707,0,0
Corn_Health (1069).jpg,0.0,488.79732730105775,0,0
Corn_Health (107).JPG,0.0,4842.095368266607,0,0
Corn_Health (1070).jpg,0.0,3587.185230417519,0,0
Corn_Health (1071).jpg,0.0,682.7126720066702,0,0
Corn_Health (1072).jpg,1.52587890625e-05,1871.5119669881342,0,0
Corn_Health (1073).jpg,0.0,1720.9126416910335,0,0
Corn_Health (1074).jpg,0.0,431.9940866800821,0,0
Corn_Health (1075).jpg,0.0,726.6510628157371,0,0
Corn_Health (1076).jpg,0.0,754.4363338488572,0,0
Corn_Health (1077).jpg,0.0,1000.4937039510625,0,0
Corn_Health (1078).jpg,0.0,2094.5918612526957,0,0
Corn_Health (1079).jpg,0.0021514892578125,1373.5228152976397,1,0
Corn_Health (108).jpg,0.0001220703125,392.8252231771498,0,0
Corn_Health (1080).jpg,0.0,1119.211928759657,0,0
